Ingrédient;Rayon;Base;kcal;Protéines (g);Glucides (g);Lipides (g);Conditionnement;Prix indicatif (€);Basique du placard;Source;Aliment Ciqual correspondant
Pois cassés;Épicerie;pour 100 g;296;23,8;47,5;1,16;500 g;1,90;;Ciqual 2025, code 20515;Pois cassé, sec
Pois chiches égouttés;Épicerie;pour 100 g;111;6,74;15,0;2,68;400 g;1,30;;Ciqual 2025, code 20532;Pois chiche, appertisé, égoutté
Poivre noir moulu;Épicerie;pour 100 g;280;13,3;39,9;7,5;50 g;2,20;oui;Ciqual 2025, code 11015;Poivre noir, poudre
Polenta;Épicerie;pour 100 g;344;7,88;74,0;1,8;500 g;1,90;;Ciqual 2025, code 9614;Polenta ou semoule de maïs, précuite, à cuire
Purée de sésame (tahini);Épicerie;pour 100 g;607;17,7;13,8;53,4;250 g;3,90;;Ciqual 2025, code 15203;Tahin ou purée de sésame
Purée en flocons;Épicerie;pour 100 g;330;8,0;73,5;0,41;250 g;1,60;;Ciqual 2025, code 4022;Flocons de pomme de terre, nature, déshydratés
Pâte de curry;Épicerie;pour 100 g;130;2,5;12;8;110 g;2,30;;Valeurs d'étiquette typiques (absent de Ciqual);
Pâte à tartiner chocolat-noisette;Épicerie;pour 100 g;543;5,02;57,9;32,4;400 g;3,40;;Ciqual 2025, code 31032;Pâte à tartiner chocolat et noisette
Pâtes;Épicerie;pour 100 g;353;12,0;72,7;1,6;500 g;1,00;;Ciqual 2025, code 9810;Pâtes sèches, standard, crues
Pâtes complètes;Épicerie;pour 100 g;337;11,8;67,6;2,2;500 g;1,60;;Ciqual 2025, code 9870;Pâtes sèches, au blé complet, crues
Pétales de maïs;Épicerie;pour 100 g;357;6,88;80,0;1,0;500 g;2,30;;Ciqual 2025, code 32005;Pétales de maïs nature, enrichis en vitamines et minéraux
Quinoa;Épicerie;pour 100 g;340;13,2;58,1;6,07;500 g;3,90;;Ciqual 2025, code 9340;Quinoa, cru
Raisins secs;Épicerie;pour 100 g;313;3,0;73,2;0,9;250 g;2,20;;Ciqual 2025, code 13046;Raisin sec
Riz basmati;Épicerie;pour 100 g;348;7,08;78,4;0,63;1000 g;3,20;;Ciqual 2025, code 9119;Riz thaï ou basmati, cru
Riz blanc;Épicerie;pour 100 g;345;7,02;77,5;0,79;1000 g;2,20;;Ciqual 2025, code 9100;Riz blanc, cru
Riz complet;Épicerie;pour 100 g;339;7,02;71,4;2,8;1000 g;2,60;;Ciqual 2025, code 9102;Riz complet, cru
Sardines à l'huile;Épicerie;pour 100 g;218;23,3;0,31;13,7;100 g;1,60;;Ciqual 2025, code 26034;Sardine, à l'huile, appertisée, égouttée
Sauce barbecue;Épicerie;pour 100 g;129;0,56;30,3;0,6;300 g;2,30;;Ciqual 2025, code 11100;Sauce barbecue, préemballée
Sauce soja;Épicerie;pour 100 ml;46;8,34;1,98;0,57;250 ml;2,60;;Ciqual 2025, code 11104, densité 1.15;Sauce soja, préemballée
Sauce teriyaki;Épicerie;pour 100 ml;101;6,82;18,4;0,02;250 ml;2,90;;Ciqual 2025, code 11301, densité 1.15;Sauce teriyaki, préemballée
Sel;Épicerie;pour 100 g;0;0;0;0;1000 g;0,60;oui;Ciqual 2025, code 11058;Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)
Semoule de couscous;Épicerie;pour 100 g;338;11,8;69,8;1,28;500 g;1,40;;Ciqual 2025, code 9610;Semoule de blé dur, crue
Sirop d'érable;Épicerie;pour 100 ml;356;0,05;88,7;0,08;250 ml;4,90;;Ciqual 2025, code 31034, densité 1.32;Sirop d'érable
Son d'avoine;Épicerie;pour 100 g;328;16,8;50,6;6,52;500 g;2,40;;Ciqual 2025, code 9640;Son d'avoine
Sucre;Épicerie;pour 100 g;399;0;99,7;0;1000 g;1,30;;Ciqual 2025, code 31016;Sucre blanc
Thon au naturel égoutté;Épicerie;pour 100 g;143;26,8;0;3,94;140 g;1,60;;Ciqual 2025, code 26039;Thon, au naturel, appertisé, égoutté
Thon à l'huile égoutté;Épicerie;pour 100 g;206;23,3;0,76;12,2;140 g;1,90;;Ciqual 2025, code 26180;Thon à l'huile de tournesol, entier, appertisé, égoutté
Thym séché;Épicerie;pour 100 g;211;9,11;26,9;7,43;20 g;1,40;oui;Ciqual 2025, code 11038;Thym, séché
Tomates concassées;Épicerie;pour 100 g;18;0,79;3,15;0,25;400 g;1,10;;Ciqual 2025, code 20137;Tomate, pelée, appertisée, au jus, non égouttée
Tortilla chips;Épicerie;pour 100 g;477;6,1;62,6;22,5;200 g;1,70;;Ciqual 2025, code 38417;Chips de maïs ou tortilla chips, nature
Vermicelles de riz;Épicerie;pour 100 g;349;6;80;0,6;250 g;1,60;;Valeurs d'étiquette typiques (absent de Ciqual);
Vinaigre balsamique;Épicerie;pour 100 ml;88;0,76;19,8;0,66;250 ml;2,20;;Ciqual 2025, code 11091, densité 1.1;Vinaigre balsamique
Vinaigre de vin;Épicerie;pour 100 ml;1;0,25;0;0;500 ml;1,10;oui;Ciqual 2025, code 11220;Vinaigre de vin rouge
Épices chili;Épicerie;pour 100 g;248;14,1;18,8;12,9;30 g;1,10;;Ciqual 2025, code 11049;Paprika, poudre
Barre protéinée;Compléments;par pièce;232;20;20;8;12 pièces;19,90;;Valeurs d'étiquette typiques (absent de Ciqual);
Créatine monohydrate;Compléments;pour 100 g;0;0;0;0;500 g;19,00;;Valeurs d'étiquette typiques (absent de Ciqual);
Gainer en poudre;Compléments;pour 100 g;387;20;70;3;3000 g;34,90;;Valeurs d'étiquette typiques (absent de Ciqual);
Whey protéine;Compléments;pour 100 g;389;80;6;5;900 g;27,00;;Valeurs d'étiquette typiques (absent de Ciqual);
